id,car,task,order,attentive_percentage,inattentive_percentage,eyeglasses,age,gender,dr_lic_years,annual_km,lifetime_km,VST1,VST2,VST3,VST_avg,tasks,zero_tasks,inattentiveness_ratio,Zorder,Ztasks,Zdr_lic_years,Zage,Zinattentiveness_ratio
ID7P18,ID7,ac_suunta,8,94.7458595088521,5.25414049114792,1,52,1,34,10000,500000,30,35,32,32.33,11,0,1.96971037263906,.869581991249917,.14177141117327,.838416384565811,.712567618638009,.170946910597654
ID7P18,ID7,ac_temp,3,95.6571428571429,4.34285714285714,1,52,1,34,10000,500000,30,35,32,32.33,6,0,1.68270622457393,-.869581991249919,-.439082625500217,.838416384565811,.712567618638009,-.022927192757904
ID7P18,ID7,ajotila,5,95.1814058956916,4.81859410430839,1,52,1,34,10000,500000,30,35,32,32.33,1,0,1.83253720917439,-.173916398249985,-1.0199366621737,.838416384565811,.712567618638009,.0782850997825588
ID7P18,ID7,a_baseline, ,97.8248425872925,2.1751574127075,1,52,1,34,10000,500000,30,35,32,32.33, ,0, , , ,.838416384565811,.712567618638009, 
ID7P18,ID7,kirkkaus,2,97.9036827195468,2.09631728045326,1,52,1,34,10000,500000,30,35,32,32.33,0,1,.975169693249239,-1.21741478774989,-1.1361074695084,.838416384565811,.712567618638009,-.500875025660803
ID7P18,ID7,lane,10,94.1647597254005,5.83524027459954,1,52,1,34,10000,500000,30,35,32,32.33,23,0,2.15272485282592,1.56524758424985,1.53582109918964,.838416384565811,.712567618638009,.294574978298113
ID7P18,ID7,latausasema,4,95.1539338654504,4.8460661345496,1,52,1,34,10000,500000,30,35,32,32.33,1,0,1.84118938815888,-.521749194749952,-1.0199366621737,.838416384565811,.712567618638009,.0841297311371877
ID7P18,ID7,navi,9,95.1191827468786,4.88081725312145,1,52,1,34,10000,500000,30,35,32,32.33,4,0,1.852134079729,1.21741478774988,-.671424240169611,.838416384565811,.712567618638009,.0915229771197433
ID7P18,ID7,puhelu,1,98.2638888888889,1.73611111111111,1,52,1,34,10000,500000,30,35,32,32.33,1,0,.861724555736573,-1.56524758424985,-1.0199366621737,.838416384565811,.712567618638009,-.577508323345143
ID7P18,ID7,radio,6,97.4402730375427,2.55972696245734,1,52,1,34,10000,500000,30,35,32,32.33,7,0,1.12111826263567,.173916398249983,-.322911818165519,.838416384565811,.712567618638009,-.402285342492184
ID7P18,ID7,seat,7,95.5392433653303,4.46075663466968,1,52,1,34,10000,500000,30,35,32,32.33,0,1,1.71983808182605,.52174919474995,-1.1361074695084,.838416384565811,.712567618638009,.00215573924574088
ID7P19,ID7,ac_suunta,10,92.8409090909091,7.15909090909091,2,38,1,20,15000,200000,27,28,29,28,16,0,1.36830444508725,1.56524758424985,.722625447846756,-.109031727140845,-.216227415310844,-.235308663556497
ID7P19,ID7,ac_temp,6,84.8275862068966,15.1724137931035,2,38,1,20,15000,200000,27,28,29,28,0,1,2.71216314751902,.173916398249983,-1.1361074695084,-.109031727140845,-.216227415310844,.672481006826215
ID7P19,ID7,ajotila,3,80.9770114942529,19.0229885057471,2,38,1,20,15000,200000,27,28,29,28,22,0,3.35791627788069,-.869581991249919,1.41965029185494,-.109031727140845,-.216227415310844,1.10869354933449
ID7P19,ID7,a_baseline, ,95.0370792926412,4.96292070735881,2,38,1,20,15000,200000,27,28,29,28, ,0, , , ,-.109031727140845,-.216227415310844, 
ID7P19,ID7,kirkkaus,1,85.9759587864911,14.0240412135089,2,38,1,20,15000,200000,27,28,29,28,0,1,2.51957756135711,-1.56524758424985,-1.1361074695084,-.109031727140845,-.216227415310844,.542387563619706
ID7P19,ID7,lane,8,94.269340974212,5.73065902578797,2,38,1,20,15000,200000,27,28,29,28,29,0,1.12875205901811,.869581991249917,2.23284594319782,-.109031727140845,-.216227415310844,-.397128638525286
ID7P19,ID7,latausasema,9,85.0917431192661,14.9082568807339,2,38,1,20,15000,200000,27,28,29,28,2,0,2.66786322716968,1.21741478774988,-.903765854839006,-.109031727140845,-.216227415310844,.642555978235684
ID7P19,ID7,navi,2,85.174585002862,14.8254149971379,2,38,1,20,15000,200000,27,28,29,28,1,0,2.65397039047663,-1.21741478774989,-1.0199366621737,-.109031727140845,-.216227415310844,.633171231446867
ID7P19,ID7,puhelu,4,80.6857142857143,19.3142857142857,2,38,1,20,15000,200000,27,28,29,28,13,0,3.4067677087234,-.521749194749952,.374113025842664,-.109031727140845,-.216227415310844,1.14169316768884
ID7P19,ID7,radio,5,85.1915380217267,14.8084619782733,2,38,1,20,15000,200000,27,28,29,28,10,0,2.65112731747638,-.173916398249985,.0256006038385723,-.109031727140845,-.216227415310844,.631250707885058
ID7P19,ID7,seat,7,93.8681948424069,6.13180515759312,2,38,1,20,15000,200000,27,28,29,28,9,0,1.19602548952579,.52174919474995,-.0905702034961249,-.109031727140845,-.216227415310844,-.351684779587163
ID7P20,ID7,ac_suunta,7,76.5197992191857,23.4802007808143,2,51,2,44,30000,1000000,24,29,30,27.67,9,0,11.695049190392,.52174919474995,-.0905702034961249,1.51516503578485,.646225116213091,6.74050820729683
